Month,Geography,Measure type,Unit of Measure,Value
1998-12,K02000001,Butterfat,Percentage,4.12
1998-12,K02000001,Protein,Percentage,3.26
1999-01,K02000001,Price,Pence per litre,19.23
1999-01,K02000001,Volume,Million litres,1170
1999-01,K02000001,Butterfat,Percentage,4.08
1999-01,K02000001,Protein,Percentage,3.22
1999-02,K02000001,Price,Pence per litre,18.95
1999-02,K02000001,Volume,Million litres,1080
1999-02,K02000001,Butterfat,Percentage,4.07
1999-02,K02000001,Protein,Percentage,3.21
1999-03,K02000001,Price,Pence per litre,18.9
1999-03,K02000001,Volume,Million litres,1232
1999-03,K02000001,Butterfat,Percentage,4.06
1999-03,K02000001,Protein,Percentage,3.21
1999-04,K02000001,Price,Pence per litre,17.53
1999-04,K02000001,Volume,Million litres,1242
1999-04,K02000001,Butterfat,Percentage,4.06
1999-04,K02000001,Protein,Percentage,3.22
1999-05,K02000001,Price,Pence per litre,16.38
1999-05,K02000001,Volume,Million litres,1339
1999-05,K02000001,Butterfat,Percentage,3.92
1999-05,K02000001,Protein,Percentage,3.31
1999-06,K02000001,Price,Pence per litre,17.2
1999-06,K02000001,Volume,Million litres,1215
1999-06,K02000001,Butterfat,Percentage,3.9
1999-06,K02000001,Protein,Percentage,3.31
1999-07,K02000001,Price,Pence per litre,19.76
1999-07,K02000001,Volume,Million litres,1212
1999-07,K02000001,Butterfat,Percentage,3.88
1999-07,K02000001,Protein,Percentage,3.3
1999-08,K02000001,Price,Pence per litre,19.8
1999-08,K02000001,Volume,Million litres,1161
1999-08,K02000001,Butterfat,Percentage,3.94
1999-08,K02000001,Protein,Percentage,3.32
1999-09,K02000001,Price,Pence per litre,19.14
1999-09,K02000001,Volume,Million litres,1105
1999-09,K02000001,Butterfat,Percentage,4.02
1999-09,K02000001,Protein,Percentage,3.4
1999-10,K02000001,Price,Pence per litre,18.09
1999-10,K02000001,Volume,Million litres,1102
1999-10,K02000001,Butterfat,Percentage,4.15
1999-10,K02000001,Protein,Percentage,3.43
1999-11,K02000001,Price,Pence per litre,17.66
1999-11,K02000001,Volume,Million litres,1062
1999-11,K02000001,Butterfat,Percentage,4.17
1999-11,K02000001,Protein,Percentage,3.37
1999-12,K02000001,Price,Pence per litre,17.33
1999-12,K02000001,Volume,Million litres,1119
1999-12,K02000001,Butterfat,Percentage,4.14
1999-12,K02000001,Protein,Percentage,3.31
2000-01,K02000001,Price,Pence per litre,16.77
2000-01,K02000001,Volume,Million litres,1149
2000-01,K02000001,Butterfat,Percentage,4.08
2000-01,K02000001,Protein,Percentage,3.24
2000-02,K02000001,Price,Pence per litre,16.59
2000-02,K02000001,Volume,Million litres,1076
2000-02,K02000001,Butterfat,Percentage,4.04
2000-02,K02000001,Protein,Percentage,3.21
2000-03,K02000001,Price,Pence per litre,16.61
2000-03,K02000001,Volume,Million litres,1148
2000-03,K02000001,Butterfat,Percentage,4.03
2000-03,K02000001,Protein,Percentage,3.2
2000-04,K02000001,Price,Pence per litre,15.26
2000-04,K02000001,Volume,Million litres,1177
2000-04,K02000001,Butterfat,Percentage,4.06
2000-04,K02000001,Protein,Percentage,3.22
2000-05,K02000001,Price,Pence per litre,14.62
2000-05,K02000001,Volume,Million litres,1292
2000-05,K02000001,Butterfat,Percentage,3.91
2000-05,K02000001,Protein,Percentage,3.3
2000-06,K02000001,Price,Pence per litre,15.34
2000-06,K02000001,Volume,Million litres,1169
2000-06,K02000001,Butterfat,Percentage,3.9
2000-06,K02000001,Protein,Percentage,3.29
2000-07,K02000001,Price,Pence per litre,17.62
2000-07,K02000001,Volume,Million litres,1175
2000-07,K02000001,Butterfat,Percentage,3.86
2000-07,K02000001,Protein,Percentage,3.29
2000-08,K02000001,Price,Pence per litre,17.92
2000-08,K02000001,Volume,Million litres,1133
2000-08,K02000001,Butterfat,Percentage,3.92
2000-08,K02000001,Protein,Percentage,3.31
